Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
uw,60630641,1,"Friday, November 15, 2013 20:35:18 UTC",47.8712,-121.6540,2.5,11.20,14,"Washington"
ci,11392010,2,"Friday, November 15, 2013 20:24:22 UTC",35.9875,-117.8320,1.3,3.50, 9,"Central California"
mb,29539,1,"Friday, November 15, 2013 19:56:11 UTC",45.9791,-112.4731,1.1,3.00,10,"western Montana"
ak,10850303,1,"Friday, November 15, 2013 19:55:52 UTC",61.1362,-151.5238,1.6,68.40,13,"Southern Alaska"
nc,72108126,1,"Friday, November 15, 2013 19:51:38 UTC",38.8098,-122.7970,1.6,3.10,33,"Northern California"
nc,72108106,0,"Friday, November 15, 2013 19:14:57 UTC",38.7643,-122.7417,1.0,2.30,18,"Northern California"
nn,00429277,1,"Friday, November 15, 2013 19:14:36 UTC",39.8120,-119.7853,1.1,11.80,21,"Nevada"
ak,10850293,2,"Friday, November 15, 2013 19:00:06 UTC",62.9697,-150.0793,1.2,97.00,15,"Central Alaska"
ak,10850119,2,"Friday, November 15, 2013 18:55:05 UTC",53.7192,-163.2257,3.4,49.00,21,"Unimak Island region, Alaska"
hv,60592141,1,"Friday, November 15, 2013 18:53:39 UTC",19.2697,-155.0572,2.0,47.00,63,"Island of Hawaii, Hawaii"
ak,10850085,1,"Friday, November 15, 2013 18:46:22 UTC",63.5427,-147.8953,1.3,1.10,17,"Central Alaska"
ak,10849774,1,"Friday, November 15, 2013 18:35:09 UTC",62.2581,-150.6402,1.6,12.00,15,"Central Alaska"
nc,72108076,1,"Friday, November 15, 2013 18:34:50 UTC",38.8097,-122.8223,2.0,2.40,31,"Northern California"
nc,72108071,0,"Friday, November 15, 2013 18:31:20 UTC",37.3113,-122.1097,2.0,0.90, 8,"San Francisco Bay area, California"
ci,11391994,2,"Friday, November 15, 2013 18:05:59 UTC",34.3410,-116.8783,1.3,0.00,26,"Southern California"
ak,10849448,1,"Friday, November 15, 2013 17:54:18 UTC",63.5458,-147.3470,1.3,5.50,16,"Central Alaska"
ci,11391978,2,"Friday, November 15, 2013 17:47:56 UTC",32.9593,-115.5717,2.0,11.60,13,"Southern California"
ak,10849430,1,"Friday, November 15, 2013 17:20:03 UTC",62.2815,-145.8711,1.5,7.10,10,"Central Alaska"
ak,10849251,1,"Friday, November 15, 2013 16:44:08 UTC",62.0813,-153.1984,1.4,0.10, 7,"Central Alaska"
uw,60630211,1,"Friday, November 15, 2013 15:57:35 UTC",48.0175,-124.6822,1.0,38.60,14,"offshore Washington"
ak,10849060,1,"Friday, November 15, 2013 15:51:17 UTC",61.5612,-149.6850,1.6,32.80,20,"Southern Alaska"
hv,60592086,1,"Friday, November 15, 2013 15:44:41 UTC",19.1472,-155.3453,2.0,5.90,33,"Island of Hawaii, Hawaii"
nc,72108031,0,"Friday, November 15, 2013 15:36:30 UTC",36.3602,-120.9143,1.6,3.60,11,"Central California"
ak,10849052,1,"Friday, November 15, 2013 15:25:25 UTC",62.7073,-149.2512,1.3,47.20,16,"Central Alaska"
ak,10848880,1,"Friday, November 15, 2013 14:24:18 UTC",63.5961,-147.5186,2.0,0.00,25,"Central Alaska"
nc,72108021,0,"Friday, November 15, 2013 14:23:40 UTC",38.7932,-122.7628,1.0,3.20,15,"Northern California"
pr,13319002,0,"Friday, November 15, 2013 14:14:33 UTC",18.1058,-65.1420,2.7,10.00, 3,"Virgin Islands region"
ak,10848874,2,"Friday, November 15, 2013 13:39:52 UTC",68.4656,-148.7669,3.3,22.10,14,"northern Alaska"
ak,10848872,2,"Friday, November 15, 2013 12:58:26 UTC",52.1238,-168.6652,2.6,42.60, 8,"Fox Islands, Aleutian Islands, Alaska"
pr,13319001,0,"Friday, November 15, 2013 12:36:56 UTC",18.7576,-68.7061,3.2,40.00, 5,"Dominican Republic"
uw,60629981,2,"Friday, November 15, 2013 12:28:52 UTC",43.6770,-121.1112,1.9,6.60,12,"Oregon"
nc,72107986,0,"Friday, November 15, 2013 12:22:56 UTC",36.9543,-121.5790,1.2,6.30,10,"Northern California"
ak,10848707,1,"Friday, November 15, 2013 11:58:37 UTC",62.2792,-145.7969,1.8,11.30,14,"Central Alaska"
nc,72107971,0,"Friday, November 15, 2013 11:53:07 UTC",38.7870,-122.7533,1.2,1.00,16,"Northern California"
uw,60629946,1,"Friday, November 15, 2013 11:42:47 UTC",43.6805,-121.1742,1.8,0.40,15,"Newberry Caldera area, Oregon"
uw,60629926,2,"Friday, November 15, 2013 11:10:06 UTC",43.6770,-121.1280,2.0,3.90,14,"Newberry Caldera area, Oregon"
pr,13319000,0,"Friday, November 15, 2013 10:40:49 UTC",18.2970,-66.1546,2.3,13.00,16,"Puerto Rico"
ak,10848536,2,"Friday, November 15, 2013 10:34:17 UTC",62.3263,-148.1604,1.0,47.70,10,"Central Alaska"
ci,11391938,2,"Friday, November 15, 2013 10:00:52 UTC",33.5858,-116.6132,1.0,16.40,26,"Southern California"
ak,10848517,2,"Friday, November 15, 2013 09:39:43 UTC",51.3646,-178.8628,3.5,14.20,11,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10848354,1,"Friday, November 15, 2013 08:30:37 UTC",59.8417,-153.0834,2.5,100.00,33,"Southern Alaska"
nn,00429253,1,"Friday, November 15, 2013 08:29:54 UTC",39.0629,-119.6061,1.0,11.40,10,"Nevada"
nc,72107911,0,"Friday, November 15, 2013 08:28:54 UTC",36.6048,-121.1575,1.5,6.00,11,"Central California"
ci,11391922,4,"Friday, November 15, 2013 07:56:15 UTC",34.2482,-118.4953,1.2,12.60, 7,"Greater Los Angeles area, California"
ci,11391914,4,"Friday, November 15, 2013 07:38:07 UTC",35.6088,-117.5240,1.3,1.70,11,"Southern California"
ci,11391906,5,"Friday, November 15, 2013 07:27:39 UTC",33.1237,-116.0462,1.5,9.30,40,"Southern California"
ak,10848200,1,"Friday, November 15, 2013 07:25:14 UTC",61.3723,-151.4672,1.8,73.20,24,"Southern Alaska"
ci,11391898,5,"Friday, November 15, 2013 06:59:19 UTC",32.8965,-115.9417,1.4,7.50,30,"Southern California"
nc,72107886,0,"Friday, November 15, 2013 05:56:54 UTC",38.3720,-122.3955,2.1,5.30,13,"Northern California"
ci,11391874,4,"Friday, November 15, 2013 05:20:25 UTC",34.3132,-118.4330,1.3,8.10,10,"Greater Los Angeles area, California"
ak,10848050,1,"Friday, November 15, 2013 05:18:46 UTC",61.5450,-140.8832,1.6,3.00, 7,"Southern Yukon Territory, Canada"
nm,111413a,B,"Friday, November 15, 2013 04:30:08 UTC",37.2706,-89.2692,2.6,7.60,20,"Illinois"
nc,72107871,0,"Friday, November 15, 2013 04:10:27 UTC",38.8360,-122.8115,1.2,2.20,22,"Northern California"
ak,10847909,2,"Friday, November 15, 2013 03:56:23 UTC",51.4367,-179.0400,2.4,24.00, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10847914,2,"Friday, November 15, 2013 03:49:48 UTC",63.4204,-149.4172,1.3,102.10,11,"Central Alaska"
ak,10847890,1,"Friday, November 15, 2013 03:36:05 UTC",61.7399,-150.7512,1.4,13.30, 6,"Southern Alaska"
at,00mwacmu,1,"Friday, November 15, 2013 03:35:18 UTC",51.4219,-178.6250,5.7,2.00,22,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72107851,0,"Friday, November 15, 2013 03:27:28 UTC",38.7782,-122.7123,1.2,3.10,16,"Northern California"
nc,72107846,0,"Friday, November 15, 2013 03:24:54 UTC",38.8302,-122.7590,1.2,1.10, 9,"Northern California"
ak,10847766,1,"Friday, November 15, 2013 03:09:59 UTC",59.6479,-151.9324,1.5,27.70, 8,"Kenai Peninsula, Alaska"
ci,11391834,2,"Friday, November 15, 2013 02:01:50 UTC",33.5017,-116.4653,1.7,8.60,50,"Southern California"
nc,72107806,1,"Friday, November 15, 2013 01:30:18 UTC",38.8217,-122.8027,1.2,3.00,25,"Northern California"
ak,10847621,1,"Friday, November 15, 2013 01:18:59 UTC",61.7308,-147.5718,1.6,34.70,20,"Southern Alaska"
ci,11391826,2,"Friday, November 15, 2013 00:41:12 UTC",32.5467,-116.7763,1.9,1.50,29,"Baja California, Mexico"
ak,10847497,1,"Friday, November 15, 2013 00:39:11 UTC",61.8140,-151.5097,1.9,90.50,25,"Southern Alaska"
ak,10847494,1,"Friday, November 15, 2013 00:33:19 UTC",60.8645,-147.7054,2.3,17.90,26,"Southern Alaska"
ci,11391818,2,"Friday, November 15, 2013 00:22:57 UTC",34.0383,-116.3110,1.6,10.40,36,"Southern California"
ak,10847486,2,"Friday, November 15, 2013 00:05:16 UTC",61.6257,-152.2509,1.9,118.90, 8,"Southern Alaska"
ak,10847485,2,"Friday, November 15, 2013 00:04:34 UTC",64.9601,-147.3692,1.2,0.40, 8,"Central Alaska"
nc,72107771,0,"Thursday, November 14, 2013 23:27:19 UTC",38.8440,-122.8298,1.0,1.90,21,"Northern California"
ci,11391802,4,"Thursday, November 14, 2013 23:06:50 UTC",33.0622,-116.4777,1.1,0.00,25,"Southern California"
pr,13318004,0,"Thursday, November 14, 2013 23:04:01 UTC",18.7737,-67.3660,2.8,33.00, 6,"Puerto Rico region"
uw,60629641,3,"Thursday, November 14, 2013 23:00:34 UTC",43.6698,-121.1398,1.0,5.50, 9,"Newberry Caldera area, Oregon"
uw,60629636,5,"Thursday, November 14, 2013 22:58:53 UTC",43.6658,-121.1512,1.9,2.80,14,"Newberry Caldera area, Oregon"
ak,10847193,1,"Thursday, November 14, 2013 22:39:13 UTC",63.2019,-151.3450,1.6,13.80,16,"Central Alaska"
uw,60629621,1,"Thursday, November 14, 2013 22:30:25 UTC",43.6715,-121.1792,1.0,7.70, 8,"Newberry Caldera area, Oregon"
nc,72107756,0,"Thursday, November 14, 2013 22:29:52 UTC",40.7577,-122.3083,1.9,5.00, 6,"Northern California"
uw,60629611,3,"Thursday, November 14, 2013 22:28:55 UTC",43.6690,-121.1658,1.7,0.00,15,"Newberry Caldera area, Oregon"
ci,11391794,5,"Thursday, November 14, 2013 22:12:45 UTC",32.7685,-116.8850,1.7,0.00,22,"San Diego County urban area, California"
ak,10847157,1,"Thursday, November 14, 2013 22:06:11 UTC",61.8521,-149.8560,1.6,94.40,14,"Southern Alaska"
nc,72107746,0,"Thursday, November 14, 2013 22:00:18 UTC",38.7715,-122.7172,1.0,2.70, 8,"Northern California"
nc,72107726,1,"Thursday, November 14, 2013 21:20:09 UTC",40.3712,-124.6070,2.6,21.00,14,"offshore Northern California"
ci,11391786,5,"Thursday, November 14, 2013 20:48:47 UTC",33.8478,-117.4907,1.3,0.00,28,"Greater Los Angeles area, California"
ak,10846892,1,"Thursday, November 14, 2013 20:25:24 UTC",63.9271,-148.7688,1.7,0.00,13,"Central Alaska"
nn,00429205,1,"Thursday, November 14, 2013 20:17:39 UTC",38.7890,-117.0247,1.9,5.00, 5,"Nevada"
nc,72107696,0,"Thursday, November 14, 2013 20:01:20 UTC",35.7165,-121.0737,1.3,6.40,11,"Central California"
ak,10846871,1,"Thursday, November 14, 2013 19:59:23 UTC",60.9300,-147.5553,1.3,25.60, 9,"Southern Alaska"
ci,11391770,4,"Thursday, November 14, 2013 19:49:23 UTC",34.3122,-118.4197,1.9,8.50,36,"Greater Los Angeles area, California"
ci,11391762,4,"Thursday, November 14, 2013 19:38:30 UTC",35.0467,-118.3173,1.4,0.00,16,"Southern California"
nc,72107661,0,"Thursday, November 14, 2013 19:35:56 UTC",36.6248,-121.1637,1.0,7.80, 8,"Central California"
ak,10846846,1,"Thursday, November 14, 2013 19:26:07 UTC",64.7903,-148.7907,1.0,19.70, 8,"Central Alaska"
uw,60629416,2,"Thursday, November 14, 2013 19:15:18 UTC",44.0992,-121.3467,1.7,0.00,14,"Oregon"
ak,10846721,1,"Thursday, November 14, 2013 18:16:51 UTC",62.1740,-145.6949,1.7,20.40,13,"Central Alaska"
nc,72107636,0,"Thursday, November 14, 2013 18:14:37 UTC",40.2360,-121.0865,2.0,1.30, 8,"Northern California"
uw,60629321,1,"Thursday, November 14, 2013 17:44:53 UTC",43.6638,-121.1480,1.0,1.80,10,"Newberry Caldera area, Oregon"
pr,13318003,0,"Thursday, November 14, 2013 17:34:00 UTC",18.1814,-66.9933,2.0,15.00,12,"Puerto Rico"
nc,72107626,0,"Thursday, November 14, 2013 17:22:08 UTC",38.8122,-122.8265,1.5,2.50,17,"Northern California"
nc,72107621,0,"Thursday, November 14, 2013 17:19:47 UTC",38.8115,-122.8127,1.3,2.60,18,"Northern California"
ci,11391730,5,"Thursday, November 14, 2013 17:17:55 UTC",33.7152,-116.7682,1.5,17.70,40,"Southern California"
ak,10846603,1,"Thursday, November 14, 2013 17:01:57 UTC",65.0777,-147.5542,1.9,0.80,13,"northern Alaska"
nc,72107616,0,"Thursday, November 14, 2013 16:52:57 UTC",38.7912,-122.8092,1.3,3.40,22,"Northern California"
nc,72107611,0,"Thursday, November 14, 2013 16:43:39 UTC",38.8230,-122.8090,1.2,3.10,17,"Northern California"
nc,72107606,0,"Thursday, November 14, 2013 16:42:48 UTC",38.8228,-122.8088,1.0,3.30,19,"Northern California"
